ID,State,Population
0,Alabama,"4,908,620"
1,Alaska,"734,002"
2,Arizona,"7,378,490"
3,Arkansas,"3,039,000"
4,California,"39,937,500"
5,Colorado,"5,845,530"
6,Connecticut,"3,563,080"
7,Delaware,"982,895"
8,Florida,"21,993,000"
9,Georgia,"10,736,100"
10,Hawaii,"1,412,690"
11,Idaho,"1,826,160"
12,Illinois,"12,659,700"
13,Indiana,"6,745,350"
14,Iowa,"3,179,850"
15,Kansas,"2,910,360"
16,Kentucky,"4,499,690"
17,Louisiana,"4,645,180"
18,Maine,"1,345,790"
19,Maryland,"6,083,120"
20,Massachusetts,"6,976,600"
21,Michigan,"10,045,000"
22,Minnesota,"5,700,670"
23,Mississippi,"2,989,260"
24,Missouri,"6,169,270"
25,Montana,"1,086,760"
26,Nebraska,"1,952,570"
27,Nevada,"3,139,660"
28,New Hampshire,"1,371,250"
29,New Jersey,"8,936,570"
30,New Mexico,"2,096,640"
31,New York,"19,440,500"
32,North Carolina,"10,611,900"
33,North Dakota,"761,723"
34,Ohio,"11,747,700"
35,Oklahoma,"3,954,820"
36,Oregon,"4,301,090"
37,Pennsylvania,"12,820,900"
38,Rhode Island,"1,056,160"
39,South Carolina,"5,210,100"
40,South Dakota,"903,027"
41,Tennessee,"6,897,580"
42,Texas,"29,472,300"
43,Utah,"3,282,120"
44,Vermont,"628,061"
45,Virginia,"8,626,210"
46,Washington,"7,797,100"
47,West Virginia,"1,778,070"
48,Wisconsin,"5,851,750"
49,Wyoming,"567,025"
